"vol","date","hand","1","2","3","4","5","cont2","cont3","cont4"
6,"1991-11-24","グー","グー","チョキ","パー","チョキ","グー",FALSE,FALSE,FALSE
7,"1991-12-01","パー","グー","グー","チョキ","パー","チョキ",TRUE,FALSE,FALSE
8,"1991-12-08","チョキ","パー","グー","グー","チョキ","パー",TRUE,FALSE,FALSE
9,"1991-12-15","グー","チョキ","パー","グー","グー","チョキ",TRUE,FALSE,FALSE
10,"1991-12-22","パー","グー","チョキ","パー","グー","グー",TRUE,FALSE,FALSE
11,"1991-12-29","グー","パー","グー","チョキ","パー","グー",FALSE,FALSE,FALSE
12,"1992-01-05","チョキ","グー","パー","グー","チョキ","パー",FALSE,FALSE,FALSE
13,"1992-01-12","パー","チョキ","グー","パー","グー","チョキ",FALSE,FALSE,FALSE
14,"1992-01-19","グー","パー","チョキ","グー","パー","グー",FALSE,FALSE,FALSE
15,"1992-01-26","チョキ","グー","パー","チョキ","グー","パー",FALSE,FALSE,FALSE
16,"1992-02-02","チョキ","チョキ","グー","パー","チョキ","グー",FALSE,FALSE,FALSE
17,"1992-02-09","パー","チョキ","チョキ","グー","パー","チョキ",TRUE,FALSE,FALSE
18,"1992-02-16","グー","パー","チョキ","チョキ","グー","パー",TRUE,FALSE,FALSE
19,"1992-02-23","チョキ","グー","パー","チョキ","チョキ","グー",TRUE,FALSE,FALSE
20,"1992-03-01","パー","チョキ","グー","パー","チョキ","チョキ",TRUE,FALSE,FALSE
21,"1992-03-08","グー","パー","チョキ","グー","パー","チョキ",FALSE,FALSE,FALSE
22,"1992-03-15","チョキ","グー","パー","チョキ","グー","パー",FALSE,FALSE,FALSE
23,"1992-03-22","パー","チョキ","グー","パー","チョキ","グー",FALSE,FALSE,FALSE
24,"1992-03-29","グー","パー","チョキ","グー","パー","チョキ",FALSE,FALSE,FALSE
25,"1992-04-05","グー","グー","パー","チョキ","グー","パー",FALSE,FALSE,FALSE
26,"1992-04-12","チョキ","グー","グー","パー","チョキ","グー",TRUE,FALSE,FALSE
27,"1992-04-19","パー","チョキ","グー","グー","パー","チョキ",TRUE,FALSE,FALSE
28,"1992-04-26","グー","パー","チョキ","グー","グー","パー",TRUE,FALSE,FALSE
29,"1992-05-03","パー","グー","パー","チョキ","グー","グー",TRUE,FALSE,FALSE
30,"1992-05-10","チョキ","パー","グー","パー","チョキ","グー",FALSE,FALSE,FALSE
31,"1992-05-17","グー","チョキ","パー","グー","パー","チョキ",FALSE,FALSE,FALSE
32,"1992-05-24","チョキ","グー","チョキ","パー","グー","パー",FALSE,FALSE,FALSE
33,"1992-05-31","パー","チョキ","グー","チョキ","パー","グー",FALSE,FALSE,FALSE
34,"1992-06-07","グー","パー","チョキ","グー","チョキ","パー",FALSE,FALSE,FALSE
35,"1992-06-14","グー","グー","パー","チョキ","グー","チョキ",FALSE,FALSE,FALSE
36,"1992-06-21","パー","グー","グー","パー","チョキ","グー",TRUE,FALSE,FALSE
37,"1992-06-28","パー","パー","グー","グー","パー","チョキ",TRUE,FALSE,FALSE
38,"1992-07-05","グー","パー","パー","グー","グー","パー",TRUE,FALSE,FALSE
39,"1992-07-12","チョキ","グー","パー","パー","グー","グー",TRUE,FALSE,FALSE
